TARID,protein_name,source_organism,Strain,UniProt_ID,PDB_ID,UniProt PubMed IDs,Function_GO_uniprot,Function_PDB
96,Global transcriptional regulator Spx (Redox-responsive Transcription factor Spx) (Suppressor of clpP and clpX) (Spx),Bacillus subtilis ,Strain 168,O31602,"1Z3E, 3GFK, 3IHQ, 6GHB, 6GHO",9384377; 11544224; 11703662; 12028382; 12057962; 12642660; 14597697; 15659166; 16885442; 17158660; 17434969; 17908206; 18662407; 18687074; 19074380; 22307755; 23894131; 24417481; 24942655; 29271514; 30001325; 30718304; 30830258; 31655740; 16249335; 19580872; 20084284; 30982633; 16249335; 19580872; 20084284; 30982633; 30982633,Not Available,Protein binding
97,Carbon storage regulator (Translational dual regulator CsrA),Escherichia coli ,Strain K12,P69913,"1Y00, 5Z38",8393005; 8604133; 9205837; 9278503; 16738553; 7751274; 7493933; 9211896; 11298291; 11741870; 12193630; 12067347; 12694612; 16352847; 16923806; 18223068; 18713317; 19103924; 19460094; 21488981; 21696456; 28851853; 28924029; 25833324; 15866937; 15866937; 29567971,mRNA 5'-UTR binding,RNA binding protein
98,Translational regulator CsrA (Carbon storage regulator) (Global Translational regulatory protein RsmA),Pseudomonas aeruginosa,Strain ATCC 15692  /  DSM 22644  /  CIP 104116  /  JCM 14847  /  LMG 12228  /  1C  /  PRS 101  /  PAO1,O69078,1VPZ,11673439; 10984043; 15126453; 16359708; 16104018,mRNA 5'-UTR binding,RNA binding protein
99,Endoribonuclease toxin MazF (EC 3.1.27.-) (Toxin MazF) (mRNA interferase MazF),Escherichia coli ,Strain K12,P0AE70,"1UB4, 3NFC, 5CK9, 5CKB, 5CKD, 5CKE, 5CKF, 5CKH, 5CO7, 5CQX, 5CQY, 5CR2",2844820; 8226627; 9278503; 16738553; 8650219; 11071896; 11222603; 12123459; 12972253; 15150257; 15576778; 15316771; 15537630; 15837428; 16390452; 17962566; 18310334; 18854355; 19251848; 19707553; 21944167; 21419338; 21788497; 29531044; 20005847; 22412352; 23432955; 23416055; 23280569; 24375411; 25564525; 19215780; 26395283; 12718874; 16413577; 12718874; 27026704; 27026704; 27026704; 27026704; 27026704; 27026704; 27026704; 27026704; 27026704; 27026704,"DNA binding, endoribonuclease activity, protein homodimerization activity, protein-containing complex binding, RNA binding",Hydrolase
100,O-acetyl-ADP-ribose deacetylase (EC 3.1.1.106) (Regulator of RNAse III activity),Escherichia coli ,Strain K12,P0A8D6,1SPV,8905232; 9278503; 16738553; 19141481; 21257746; 24267348; 25546632; 28034758; 28582517; 26481419,"Deacetylase activity, endoribonuclease inhibitor activity, enzyme binding, O-acetyl-ADP-ribose deacetylase activity, purine nucleoside binding",Structural protein
101,Surface composition regulator,Escherichia coli ,Strain K12,P26649,1RRZ,1324388; 9205837; 9278503; 16738553; 23537328; 9208918; 15161493,Not Available,Structural protein
102,Type IV major pilin protein PilA (Pilin),Pseudomonas aeruginosa,Strain ATCC 15692  /  DSM 22644  /  CIP 104116  /  JCM 14847  /  LMG 12228  /  1C  /  PRS 101  /  PAO1,P04739,1PAO,2997119; 10984043; 8330261; 8845350; 1429457; 9282737; 23266901; 26041805; 27162347; 31431558,Not Available,Fimbrial protein
103,AI-2 transport protein TqsA (Transport of quorum-sensing signal protein),Escherichia coli ,Strain K12,P0AFS5,--,9097039; 9278503; 16738553; 15919996; 16385049,Efflux transmembrane transporter activity,Not Available
104,HTH-type quorum sensing-dependent Transcriptional regulator VjbR,Brucella melitensis biotype 1 ,Strain 16M  /  ATCC 23456  /  NCTC 10094,Q8YAY5,--,11756688; 16008582; 17056750; 17557825; 20529360,DNA binding,Not Available
105,Sensory / regulatory protein RpfC (EC 2.7.13.3),Xanthomonas campestris pv. campestris ,Strain 8004,P0C0F7,--,11123673; 15899963; 1645442; 12960398; 16611728; 28784774; 16940295; 20231439; 28369120,"ATP binding, phosphorelay sensor kinase activity",Not Available
106,Exopolyphosphatase (ExopolyPase) (EC 3.6.1.11) (Polyphosphate:ADP phosphoTransferase) (PolyP:ADP phosphoTransferase) (EC 2.7.4.1),Pseudomonas aeruginosa,Strain ATCC 15692  /  DSM 22644  /  CIP 104116  /  JCM 14847  /  LMG 12228  /  1C  /  PRS 101  /  PAO1,Q9ZN70,--,10382967; 10984043; 26576296,"Exopolyphosphatase activity, polyphosphate kinase activity, pyrophosphatase activity",Not Available
107,Two-component response regulator PprB,Pseudomonas aeruginosa,Strain ATCC 15692  /  DSM 22644  /  CIP 104116  /  JCM 14847  /  LMG 12228  /  1C  /  PRS 101  /  PAO1,Q9HWA4,--,10984043; 12499175; 15882421; 18684246; 19151143; 21091863; 23209420; 31492668,"DNA binding, phosphorelay response regulator activity",Not Available
108,Platelet adherence protein A (Adhesin PadA),Streptococcus gordonii ,Strain Challis  /  ATCC 35105  /  BCRC 15272  /  CH1  /  DL1  /  V288,A8AZP4,--,17720781; 8366515; 19884334; 21071690; 24136582; 27616700,Not Available,Not Available
109,S-ribosylhomocysteine lyase,Listeria monocytogenes serovar 1 / 2a ,Strain ATCC BAA-679  /  EGD-e,Q8Y7I9,--,12039883; 11679669,"Iron ion binding, S-ribosylhomocysteine lyase activity",Not Available
110,Adhesin Ata autotransporter (Acinetobacter trimeric autotransporter) (Type 5 secretion system autotransporter Ata),Acinetobacter baumannii ,Strain ATCC 17978  /  CIP 53.77  /  LMG 1025  /  NCDC KC755  /  5377,A3M3H0,--,17344419; 22825448; 22609912,Not Available,Not Available
111,Uncharacterized protein,Desulfitobacterium hafniense ,Strain Y51,Q24NU6,--,16513756,Not Available,Not Available
112,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Pseudomonas spp. GM25,,J2X9J6,--,23045501,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
113,Uncharacterized protein,Limosilactobacillus mucosae LM1,,A0A0D4CKI7,--,22887668,Not Available,Not Available
114,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-Glcc synthase) (EC 2.4.1.-)",Bordetella pertussis ,Strain Tohama I  /  ATCC BAA-589  /  NCTC 13251,Q7VX65,--,12910271,Acetyl glucosaminyl transferase activity,Not Available
115,Uncharacterized protein,Bordetella pertussis ,Strain Tohama I  /  ATCC BAA-589  /  NCTC 13251,Q7VY41,--,12910271,Not Available,Not Available
116,Motility quorum-sensing regulator MqsR,Pseudomonas spp. S35,,A0A6I6VNC7,--,25398872,Not Available,Not Available
117,Type II toxin-antitoxin system MqsR family toxin,Pseudomonas caspiana,,A0A502JPJ4,--,31206918,Not Available,Not Available
118,Putative hemin storage protein,Bordetella pertussis ,Strain Tohama I  /  ATCC BAA-589  /  NCTC 13251,Q7VX64,--,12910271,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
119,Surface composition regulator,Klebsiella oxytoca ,Strain ATCC 8724  /  DSM 4798  /  JCM 20051  /  NBRC 3318  /  NRRL B-199  /  KCTC 1686,A0A0H3H1S4,--,22493189,Not Available,Not Available
120,Uncharacterized protein,Serpentinomona mccroryi,,A0A060NNA1,--,24845058,Not Available,Not Available
121,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Cupriavidus gilardii CR3,,A0A0M4KYJ3,--,26301592,Acetyl glucosaminyl transferase activity,Not Available
122,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Pseudomonas viciae,,A0A4P7PA43,--,30941113,Not Available,Not Available
123,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Sedimenticola spp.,,A0A7C1YJ10,--,31911466,Not Available,Not Available
124,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Pseudomonas viciae,,A0A4P7PA38,--,30941113,Acetyl glucosaminyl transferase activity,Not Available
125,Type II toxin-antitoxin system MqsR family toxin,Pseudomonas gessardii,,A0A7Y1QPP7,--,32587583,Not Available,Not Available
126,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Pseudomonas gessardii,,A0A7Y1MQN0,--,32587583,Not Available,Not Available
127,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Sedimenticola spp.,,A0A7C1YCS2,--,31911466,Acetyl glucosaminyl transferase activity,Not Available
128,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB (EC 3.5.1.-)",Pseudomonas gessardii,,A0A7Y1MR48,--,32587583,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
129,Uncharacterized protein,Cupriavidus gilardii CR3,,A0A0M3SW47,--,26301592,Not Available,Not Available
130,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Sedimenticola spp.,,A0A7C1YIT8,--,31911466,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
131,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Candidatus Desulfofervidus auxilii,,A0A7C0Y839,--,31911466,Not Available,Not Available
132,Putative membrane protein,Bordetella bronchiseptica 253,,A0A0C6P5Z7,--,23051057,Not Available,Not Available
133,Surface composition regulator,Klebsiella pneumoniae subspp. pneumoniae ,Strain HS11286,A0A0H3GYK7,--,22408243,Not Available,Not Available
134,Hemin storage system HmsS protein,Klebsiella pneumoniae subspp. pneumoniae ,Strain HS11286,A0A0H3GQE1,--,22408243,Not Available,Not Available
135,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Klebsiella pneumoniae subspp. pneumoniae ,Strain HS11286,A0A0H3GH44,--,22408243,Acetyl glucosaminyl transferase activity,Not Available
136,Uncharacterized protein,Collinsella aerofaciens,,A0A6N9JJB5,--,31477907,Not Available,Not Available
137,Motility quorum-sensing regulator,Escherichia coli O17:K52:H18 ,Strain UMN026  /  ExPEC,B7ND13,--,19165319,Not Available,Not Available
138,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Pseudomonas spp. CFBP13528,,A0A4U3IFB2,--,31040301,Acetyl glucosaminyl transferase activity,Not Available
139,Outer membrane N-deacetylase,Pseudomonas spp. ,Strain M1,W5IKV6,--,10388678; 23405299,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
140,Polysaccharide deacetylase,Burkholderia spp. TJI49,,F0FYV7,--,23653265,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
141,mRNA interferase MqsR,Pseudomonas spp. ,Strain M1,W5IYY9,--,10388678; 23405299,Not Available,Not Available
142,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Stenotrophomonas spp. ZAC14D1_naIMI4_6,,A0A3Q8FCT2,--,29765358,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
143,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Stenotrophomonas spp. ZAC14D1_naIMI4_6,,A0A3Q8F836,--,29765358,Acetyl glucosaminyl transferase activity,Not Available
144,Predicted inner membrane protein,Escherichia coli ,Strain ATCC 9637  /  CCM 2024  /  DSM 1116  /  LMG 11080  /  NBRC 13500  /  NCIMB 8666  /  NRRL B-766  /  W,E0IZ23,--,21208457,Not Available,Not Available
145,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Burkholderia spp. TJI49,,F0FYV6,--,23653265,Acetyl glucosaminyl transferase activity,Not Available
146,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Pseudomonas spp. CFBP13528,,A0A4U3IG94,--,31040301,Not Available,Not Available
147,Uncharacterized protein,Burkholderia spp. TJI49,,F0FZG2,--,23653265,Not Available,Not Available
148,Uncharacterized protein,Gordonibacter urolithinfaciens,,A0A7K0IDQ7,--,31477907,Not Available,Not Available
149,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Pseudomonas spp. CFBP13528,,A0A4U3IGQ5,--,31040301,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
150,Uncharacterized protein,Candidatus thiomargarita nelsonii,,A0A0A6P4A5,--,27199933,Not Available,Not Available
151,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase",Pseudomonas spp. S35,,A0A6I6VSZ2,--,25398872,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
152,Lipoprotein for biofilm formation,Bacillus pumilus ,Strain SAFR-032,A8FF48,--,17895969,Not Available,Not Available
153,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Pseudomonas spp. S35,,A0A6I6VN30,--,25398872,Not Available,Not Available
154,Uncharacterized protein,Candidatus thiomargarita nelsonii,,A0A0A6P6A5,--,27199933,Not Available,Not Available
155,Uncharacterized protein,Candidatus thiomargarita nelsonii,,A0A0A6S368,--,27199933,Not Available,Not Available
156,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Pseudomonas spp. S35,,A0A6I6VPE8,--,25398872,Acetyl glucosaminyl transferase activity,Not Available
157,Uncharacterized protein,Gamma proteobacterium HTCC5015,,B5JTY1,--,20472792,Not Available,Not Available
158,Uncharacterized protein,Bacteroidetes bacterium,,A0A7C5HKG5,--,31911466,Not Available,Not Available
159,YcdR,Gamma proteobacterium HTCC5015,,B5JTX9,--,20472792,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
160,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Gamma proteobacterium HTCC5015,,B5JTY0,--,20472792,Acetyl glucosaminyl transferase activity,Not Available
161,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Pseudomonas gessardii,,A0A7Y1MQR9,--,32587583,Acetyl glucosaminyl transferase activity,Not Available
162,Outer membrane N-deacetylase,Klebsiella aerogenes ,Strain ATCC 13048  /  DSM 30053  /  JCM 1235  /  KCTC 2190  /  NBRC 13534  /  NCIMB 10102  /  NCTC 10006,A0A0H3FMM8,--,22493190,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
163,"Toxin-antitoxin system,  toxin component",Nitrosomonadales bacterium,,A0A658BNF9,--,29662147,Not Available,Not Available
164,Type II toxin-antitoxin system MqsR family toxin,Pseudomonas viciae,,A0A4P7PLV8,--,30941113,Not Available,Not Available
165,Outer membrane N-deacetylase,Cupriavidus gilardii CR3,,A0A0M5KLW7,--,26301592,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
166,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Rhodocyclaceae bacterium,,A0A7C6VQ62,--,32123542,Acetyl glucosaminyl transferase activity,Not Available
167,GGDEF family protein,Vibrio cholerae serotype O1 ,Strain ATCC 39315  /  El Tor Inaba N16961,Q9KTK2,--,10952301,Diguanylate cyclase activity,Not Available
168,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Xenorhabdus stockiae,,A0A2D0KWC7,--,28993611,Acetyl glucosaminyl transferase activity,Not Available
169,Uncharacterized protein,Lachnospiraceae bacterium,,A0A3C1WTK7,--,30148503,Not Available,Not Available
170,Histidinekinase  (EC 2.7.13.3),Vibrio cholerae serotype O1 ,Strain ATCC 39315  /  El Tor Inaba N16961,Q9KLP6,--,10952301,"Diguanylate cyclase activity, protein histidine kinase activity",Not Available
171,GGDEF family protein,Vibrio cholerae serotype O1 ,Strain ATCC 39315  /  El Tor Inaba N16961,Q9KM29,--,10952301,Diguanylate cyclase activity,Not Available
172,GGDEF family protein,Vibrio cholerae serotype O1 ,Strain ATCC 39315  /  El Tor Inaba N16961,Q9KSA6,--,10952301,Diguanylate cyclase activity,Not Available
173,GGDEF family protein,Vibrio cholerae serotype O1 ,Strain ATCC 39315  /  El Tor Inaba N16961,Q9KT76,--,10952301,Diguanylate cyclase activity,Not Available
174,GGDEF family protein,Vibrio cholerae serotype O1 ,Strain ATCC 39315  /  El Tor Inaba N16961,Q9KMV1,--,10952301,Diguanylate cyclase activity,Not Available
175,GGDEF family protein,Vibrio cholerae serotype O1 ,Strain ATCC 39315  /  El Tor Inaba N16961,Q9KRN7,--,10952301,Diguanylate cyclase activity,Not Available
176,GGDEF family protein,Vibrio cholerae serotype O1 ,Strain ATCC 39315  /  El Tor Inaba N16961,Q9KSP0,--,10952301,"Diguanylate cyclase activity, Metal ion binding",Not Available
177,GGDEF family protein,Vibrio cholerae serotype O1 ,Strain ATCC 39315  /  El Tor Inaba N16961,Q9KS87,--,10952301,Diguanylate cyclase activity,Not Available
178,"Poly-beta-1, 6-N-acetyl-D-glucosamine N-deacetylase PgaB",Enterobacter kobei,,A0A2J0PG21,--,29088362,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
179,Sensory box / GGDEF family protein,Vibrio cholerae serotype O1 ,Strain ATCC 39315  /  El Tor Inaba N16961,Q9KL11,--,10952301,Diguanylate cyclase activity,Not Available
180,Sensory box / GGDEF family protein,Vibrio cholerae serotype O1 ,Strain ATCC 39315  /  El Tor Inaba N16961,Q9KPJ7,--,10952301,Diguanylate cyclase activity,Not Available
181,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Xenorhabdus stockiae,,A0A2D0KWD2,--,28993611,Not Available,Not Available
182,GGDEF family protein,Vibrio cholerae serotype O1 ,Strain ATCC 39315  /  El Tor Inaba N16961,Q9KSS1,--,10952301,Diguanylate cyclase activity,Not Available
183,GGDEF family protein,Vibrio cholerae serotype O1 ,Strain ATCC 39315  /  El Tor Inaba N16961,Q9KL98,--,10952301,Diguanylate cyclase activity,Not Available
184,GGDEF family protein,Vibrio cholerae serotype O1 ,Strain ATCC 39315  /  El Tor Inaba N16961,Q9KT01,--,10952301,Diguanylate cyclase activity,Not Available
185,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Lachnospiraceae bacterium,,A0A3D0DPQ1,--,30148503,Not Available,Not Available
186,GGDEF family protein,Vibrio cholerae serotype O1 ,Strain ATCC 39315  /  El Tor Inaba N16961,Q9KNN4,--,10952301,Diguanylate cyclase activity,Not Available
187,GGDEF family protein,Vibrio cholerae serotype O1 ,Strain ATCC 39315  /  El Tor Inaba N16961,Q9KM32,--,10952301,Diguanylate cyclase activity,Not Available
188,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Pseudomonas spp.,,A0A3D4NT76,--,30148503,Acetyl glucosaminyl transferase activity,Not Available
189,mRNA interferase MqsR,Pseudomonas spp.,,A0A3D0JRX8,--,30148503,Not Available,Not Available
190,Surface composition regulator,Salmonella agona,Strain SL483,B5F692,--,21602358,Not Available,Not Available
191,mRNA interferase MqsR,Pseudomonas spp.,,A0A355RA73,--,30148503,Not Available,Not Available
192,Type II toxin-antitoxin system MqsR family toxin,Pseudomonas spp.,,A0A3D1VUK6,--,30148503,Not Available,Not Available
193,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Pseudomonas spp.,,A0A3D4NT61,--,30148503,Not Available,Not Available
194,"Poly-beta-1, 6-N-acetyl-D-glucosamine synthase (Poly-beta-1, 6-GlcNAc synthase) (EC 2.4.1.-)",Xenorhabdus budapestensis,,A0A2D0J1F4,--,28993611,Acetyl glucosaminyl transferase activity,Not Available
195,"Poly-beta-1, 6-N-acetyl-D-glucosamine biosynthesis protein PgaD",Priestia megaterium ,Bacillus megaterium,A0A2T7JNY8,--,31228823,Not Available,Not Available
196,Hypothetical lipoprotein ycdR,Escherichia coli O6:H1 ,Strain CFT073  /  ATCC 700928  /  UPEC,A0A0H2V5Y9,--,12471157,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
197,Putative polysaccharide deacetylase associated with biofilm formation putative lipoprotein (PgaB),Ralstonia solanacearum CMR15,,D8NG92,--,20550686,"Hydrolase activity,  acting on carbon-nitrogen (but not peptide) bonds",Not Available
198,Type II toxin-antitoxin system MqsR family toxin,Desulfovibrio spp.,,A0A3D4GJY3,--,30148503,Not Available,Not Available
199,Uncharacterized protein,Serpentinomonas raichei,,A0A060NIR8,--,24845058,Not Available,Not Available
200,Putative transmembrane protein,Ralstonia solanacearum CMR15,,D8NG94,--,20550686,Not Available,Not Available
